dataset,variant,status,invalid_reasons,warnings,model_type,target_type,num_classes,metapath_blocks,path_lad_blocks,compiled_blocks,teacher_type,teacher_train_acc,teacher_val_acc,teacher_predicted_class_count,use_kd,kd_lambda,temperature,predicted_class_count,block_norm_stats_source,ratio_mode,requested_ratio,requested_full_condensed_node_ratio,total_condensed_node_ratio,accuracy,macro_f1,source_log,block_dims,ce_loss,feature_blocks,kd_loss,path_lad_hub_clip_thresholds,path_lad_leave_one_out_for_train,path_lad_row_normalize,path_lad_uses_train_labels_only,prototype_mode
acm,S0_current_best,completed,[],[],relation_linear,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]",[],[],none,,,,False,0.5,2.0,3,train_full_demand_table,target_only,0.048,,0.013068908791811369,0.7096317410469055,0.6963719328244528,experiments\logs\sota_small_seed42\acm_S0_current_best_r0p048_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]",,,True,,True,kmeans_mean
acm,S1_sehgnn_lite_metapath,invalid_config,['sehgnn_or_metapath_requires_model_type_sehgnn_lite'],[],compiled_demand_mlp,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]",[],"[""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper""]",none,,,,False,0.5,2.0,3,train_full_demand_table,target_only,0.048,,0.013068908791811369,,,experiments\logs\sota_small_seed42\acm_S1_sehgnn_lite_metapath_r0p048_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper"", ""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper""]",,,True,,True,kmeans_mean
acm,S2_coverage_medoids,completed,[],['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]",[],"[""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper""]",none,,,,False,0.5,2.0,3,train_full_demand_table,target_only,0.048,,0.013160299762383476,0.7219074368476868,0.7159724235534668,experiments\logs\sota_small_seed42\acm_S2_coverage_medoids_r0p048_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper"", ""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper""]",,,True,,True,coverage_medoid
acm,S3_path_lad_source_anchor,invalid_config,"['path_lad_row_normalization_missing', 'path_lad_hub_clipping_missing']",['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]","[""PAP"", ""PSP"", ""PTP""]","[""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper"", ""path_lad:PAP"", ""path_lad:PSP"", ""path_lad:PTP""]",none,,,,False,0.5,2.0,3,train_full_demand_table,target_only,0.048,,0.013160299762383476,,,experiments\logs\sota_small_seed42\acm_S3_path_lad_source_anchor_r0p048_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper"", ""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper"", ""path_lad:PAP"", ""path_lad:PSP"", ""path_lad:PTP""]",,,True,,True,coverage_medoid
acm,S4_teacher_kd,invalid_config,"['teacher_train_acc_missing', 'teacher_val_acc_missing', 'ce_loss_missing', 'kd_loss_missing']",['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]","[""PAP"", ""PSP"", ""PTP""]","[""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper"", ""path_lad:PAP"", ""path_lad:PSP"", ""path_lad:PTP""]",sehgnn_lite,,,,True,0.5,2.0,3,train_full_demand_table,target_only,0.048,,0.013160299762383476,,,experiments\logs\sota_small_seed42\acm_S4_teacher_kd_r0p048_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper"", ""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper"", ""path_lad:PAP"", ""path_lad:PSP"", ""path_lad:PTP""]",,,True,,True,coverage_medoid
acm,S0_current_best,completed,[],[],relation_linear,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]",[],[],none,,,,False,0.5,2.0,3,train_full_demand_table,target_only,0.096,,0.024584171083896912,0.8234183192253113,0.823662281036377,experiments\logs\sota_small_seed42\acm_S0_current_best_r0p096_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]",,,True,,True,kmeans_mean
acm,S1_sehgnn_lite_metapath,invalid_config,['sehgnn_or_metapath_requires_model_type_sehgnn_lite'],[],compiled_demand_mlp,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]",[],"[""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper""]",none,,,,False,0.5,2.0,3,train_full_demand_table,target_only,0.096,,0.024584171083896912,,,experiments\logs\sota_small_seed42\acm_S1_sehgnn_lite_metapath_r0p096_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper"", ""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper""]",,,True,,True,kmeans_mean
acm,S2_coverage_medoids,completed,[],['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]",[],"[""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper""]",none,,,,False,0.5,2.0,3,train_full_demand_table,target_only,0.096,,0.027051727289343814,0.7455146312713623,0.7218442956606547,experiments\logs\sota_small_seed42\acm_S2_coverage_medoids_r0p096_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper"", ""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper""]",,,True,,True,coverage_medoid
acm,S3_path_lad_source_anchor,invalid_config,"['path_lad_row_normalization_missing', 'path_lad_hub_clipping_missing']",['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]","[""PAP"", ""PSP"", ""PTP""]","[""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper"", ""path_lad:PAP"", ""path_lad:PSP"", ""path_lad:PTP""]",none,,,,False,0.5,2.0,3,train_full_demand_table,target_only,0.096,,0.027051727289343814,,,experiments\logs\sota_small_seed42\acm_S3_path_lad_source_anchor_r0p096_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper"", ""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper"", ""path_lad:PAP"", ""path_lad:PSP"", ""path_lad:PTP""]",,,True,,True,coverage_medoid
acm,S4_teacher_kd,invalid_config,"['teacher_train_acc_missing', 'teacher_val_acc_missing', 'ce_loss_missing', 'kd_loss_missing']",['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,paper,3,"[""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper""]","[""PAP"", ""PSP"", ""PTP""]","[""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper"", ""path_lad:PAP"", ""path_lad:PSP"", ""path_lad:PTP""]",sehgnn_lite,,,,True,0.5,2.0,3,train_full_demand_table,target_only,0.096,,0.027051727289343814,,,experiments\logs\sota_small_seed42\acm_S4_teacher_kd_r0p096_seed42.json,{},,"[""self"", ""paper-author-paper"", ""paper-subject-paper"", ""paper-term-paper"", ""self"", ""demand:paper:cite_ref:paper"", ""demand:paper:cited_by:paper"", ""demand:author:writes:paper"", ""demand:subject:subject_of:paper"", ""demand:term:term_in:paper"", ""path_lad:PAP"", ""path_lad:PSP"", ""path_lad:PTP""]",,,True,,True,coverage_medoid
dblp,S0_current_best,completed,[],[],relation_linear,author,4,"[""author-paper-author""]",[],[],none,,,,False,0.5,2.0,4,train_full_demand_table,target_only,0.012,,0.001837109614206981,0.794718325138092,0.7870782613754272,experiments\logs\sota_small_seed42\dblp_S0_current_best_r0p012_seed42.json,{},,"[""self"", ""author-paper-author""]",,,True,,True,kmeans_mean
dblp,S1_sehgnn_lite_metapath,invalid_config,['sehgnn_or_metapath_requires_model_type_sehgnn_lite'],[],compiled_demand_mlp,author,4,"[""author-paper-author""]",[],"[""self"", ""demand:paper:written_by:author""]",none,,,,False,0.5,2.0,4,train_full_demand_table,target_only,0.012,,0.001837109614206981,,,experiments\logs\sota_small_seed42\dblp_S1_sehgnn_lite_metapath_r0p012_seed42.json,{},,"[""self"", ""author-paper-author"", ""self"", ""demand:paper:written_by:author""]",,,True,,True,kmeans_mean
dblp,S2_coverage_medoids,completed,[],['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,author,4,"[""author-paper-author""]",[],"[""self"", ""demand:paper:written_by:author""]",none,,,,False,0.5,2.0,4,train_full_demand_table,target_only,0.012,,0.0017988364972443356,0.3390845060348511,0.3266420140862465,experiments\logs\sota_small_seed42\dblp_S2_coverage_medoids_r0p012_seed42.json,{},,"[""self"", ""author-paper-author"", ""self"", ""demand:paper:written_by:author""]",,,True,,True,coverage_medoid
dblp,S3_path_lad_source_anchor,invalid_config,"['path_lad_row_normalization_missing', 'path_lad_hub_clipping_missing']",['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,author,4,"[""author-paper-author""]","[""APA""]","[""self"", ""demand:paper:written_by:author"", ""path_lad:APA""]",none,,,,False,0.5,2.0,4,train_full_demand_table,target_only,0.012,,0.0017988364972443356,,,experiments\logs\sota_small_seed42\dblp_S3_path_lad_source_anchor_r0p012_seed42.json,{},,"[""self"", ""author-paper-author"", ""self"", ""demand:paper:written_by:author"", ""path_lad:APA""]",,,True,,True,coverage_medoid
dblp,S4_teacher_kd,invalid_config,"['teacher_train_acc_missing', 'teacher_val_acc_missing', 'ce_loss_missing', 'kd_loss_missing']",['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,author,4,"[""author-paper-author""]","[""APA""]","[""self"", ""demand:paper:written_by:author"", ""path_lad:APA""]",sehgnn_lite,,,,True,0.5,2.0,4,train_full_demand_table,target_only,0.012,,0.0017988364972443356,,,experiments\logs\sota_small_seed42\dblp_S4_teacher_kd_r0p012_seed42.json,{},,"[""self"", ""author-paper-author"", ""self"", ""demand:paper:written_by:author"", ""path_lad:APA""]",,,True,,True,coverage_medoid
dblp,S0_current_best,completed,[],[],relation_linear,author,4,"[""author-paper-author""]",[],[],none,,,,False,0.5,2.0,4,train_full_demand_table,target_only,0.024,,0.0014543784445805266,0.7795774936676025,0.772317111492157,experiments\logs\sota_small_seed42\dblp_S0_current_best_r0p024_seed42.json,{},,"[""self"", ""author-paper-author""]",,,True,,True,kmeans_mean
dblp,S1_sehgnn_lite_metapath,invalid_config,['sehgnn_or_metapath_requires_model_type_sehgnn_lite'],[],compiled_demand_mlp,author,4,"[""author-paper-author""]",[],"[""self"", ""demand:paper:written_by:author""]",none,,,,False,0.5,2.0,4,train_full_demand_table,target_only,0.024,,0.0014543784445805266,,,experiments\logs\sota_small_seed42\dblp_S1_sehgnn_lite_metapath_r0p024_seed42.json,{},,"[""self"", ""author-paper-author"", ""self"", ""demand:paper:written_by:author""]",,,True,,True,kmeans_mean
dblp,S2_coverage_medoids,completed,[],['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,author,4,"[""author-paper-author""]",[],"[""self"", ""demand:paper:written_by:author""]",none,,,,False,0.5,2.0,4,train_full_demand_table,target_only,0.024,,0.0033297611757501532,0.38204225897789,0.36737966537475586,experiments\logs\sota_small_seed42\dblp_S2_coverage_medoids_r0p024_seed42.json,{},,"[""self"", ""author-paper-author"", ""self"", ""demand:paper:written_by:author""]",,,True,,True,coverage_medoid
dblp,S3_path_lad_source_anchor,invalid_config,"['path_lad_row_normalization_missing', 'path_lad_hub_clipping_missing']",['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,author,4,"[""author-paper-author""]","[""APA""]","[""self"", ""demand:paper:written_by:author"", ""path_lad:APA""]",none,,,,False,0.5,2.0,4,train_full_demand_table,target_only,0.024,,0.0033297611757501532,,,experiments\logs\sota_small_seed42\dblp_S3_path_lad_source_anchor_r0p024_seed42.json,{},,"[""self"", ""author-paper-author"", ""self"", ""demand:paper:written_by:author"", ""path_lad:APA""]",,,True,,True,coverage_medoid
dblp,S4_teacher_kd,invalid_config,"['teacher_train_acc_missing', 'teacher_val_acc_missing', 'ce_loss_missing', 'kd_loss_missing']",['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,author,4,"[""author-paper-author""]","[""APA""]","[""self"", ""demand:paper:written_by:author"", ""path_lad:APA""]",sehgnn_lite,,,,True,0.5,2.0,4,train_full_demand_table,target_only,0.024,,0.0033297611757501532,,,experiments\logs\sota_small_seed42\dblp_S4_teacher_kd_r0p024_seed42.json,{},,"[""self"", ""author-paper-author"", ""self"", ""demand:paper:written_by:author"", ""path_lad:APA""]",,,True,,True,coverage_medoid
dblp,S0_current_best,completed,[],[],relation_linear,author,4,"[""author-paper-author""]",[],[],none,,,,False,0.5,2.0,4,train_full_demand_table,target_only,0.048,,0.005319963257807716,0.8024647831916809,0.7956401407718658,experiments\logs\sota_small_seed42\dblp_S0_current_best_r0p048_seed42.json,{},,"[""self"", ""author-paper-author""]",,,True,,True,kmeans_mean
dblp,S1_sehgnn_lite_metapath,invalid_config,['sehgnn_or_metapath_requires_model_type_sehgnn_lite'],[],compiled_demand_mlp,author,4,"[""author-paper-author""]",[],"[""self"", ""demand:paper:written_by:author""]",none,,,,False,0.5,2.0,4,train_full_demand_table,target_only,0.048,,0.005319963257807716,,,experiments\logs\sota_small_seed42\dblp_S1_sehgnn_lite_metapath_r0p048_seed42.json,{},,"[""self"", ""author-paper-author"", ""self"", ""demand:paper:written_by:author""]",,,True,,True,kmeans_mean
dblp,S2_coverage_medoids,completed,[],['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,author,4,"[""author-paper-author""]",[],"[""self"", ""demand:paper:written_by:author""]",none,,,,False,0.5,2.0,4,train_full_demand_table,target_only,0.048,,0.0066595223515003065,0.3964788615703583,0.4042668119072914,experiments\logs\sota_small_seed42\dblp_S2_coverage_medoids_r0p048_seed42.json,{},,"[""self"", ""author-paper-author"", ""self"", ""demand:paper:written_by:author""]",,,True,,True,coverage_medoid
dblp,S3_path_lad_source_anchor,invalid_config,"['path_lad_row_normalization_missing', 'path_lad_hub_clipping_missing']",['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,author,4,"[""author-paper-author""]","[""APA""]","[""self"", ""demand:paper:written_by:author"", ""path_lad:APA""]",none,,,,False,0.5,2.0,4,train_full_demand_table,target_only,0.048,,0.0066595223515003065,,,experiments\logs\sota_small_seed42\dblp_S3_path_lad_source_anchor_r0p048_seed42.json,{},,"[""self"", ""author-paper-author"", ""self"", ""demand:paper:written_by:author"", ""path_lad:APA""]",,,True,,True,coverage_medoid
dblp,S4_teacher_kd,invalid_config,"['teacher_train_acc_missing', 'teacher_val_acc_missing', 'ce_loss_missing', 'kd_loss_missing']",['coverage_medoid is deprecated in this sprint; use teacher_demand_herding instead.'],compiled_demand_mlp,author,4,"[""author-paper-author""]","[""APA""]","[""self"", ""demand:paper:written_by:author"", ""path_lad:APA""]",sehgnn_lite,,,,True,0.5,2.0,4,train_full_demand_table,target_only,0.048,,0.0066595223515003065,,,experiments\logs\sota_small_seed42\dblp_S4_teacher_kd_r0p048_seed42.json,{},,"[""self"", ""author-paper-author"", ""self"", ""demand:paper:written_by:author"", ""path_lad:APA""]",,,True,,True,coverage_medoid
dblp,S0_current_best,completed,[],[],relation_linear,author,4,"[""author-paper-author""]",[],[],none,,,,False,0.5,2.0,4,train_full_demand_table,target_only,0.096,,0.013433864053888548,0.8056337833404541,0.7980579286813736,experiments\logs\sota_small_seed42\dblp_S0_current_best_r0p096_seed42.json,{},,"[""self"", ""author-paper-author""]",,,True,,True,kmeans_mean
dblp,S1_sehgnn_lite_metapath,invalid_config,['sehgnn_or_metapath_requires_model_type_sehgnn_lite'],[],compiled_demand_mlp,author,4,"[""author-paper-author""]",[],"[""self"", ""demand:paper:written_by:author""]",none,,,,False,0.5,2.0,4,train_full_demand_table,target_only,0.096,,0.013433864053888548,,,experiments\logs\sota_small_seed42\dblp_S1_sehgnn_lite_metapath_r0p096_seed42.json,{},,"[""self"", ""author-paper-author"", ""self"", ""demand:paper:written_by:author""]",,,True,,True,kmeans_mean
